id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
8413,Fresno americano,16/02/2011 18:18,Bajo (2 - 4 mts),56,Mediano,-68.8369231624,-32.9011817828,2,Barrio Civico,2366816.36021,1,Bajo
34464,Morera,11/03/2011 09:55,Alto (> 8 mts),104,Grande,-68.8500552026,-32.8740333033,6,Residencial Norte,2694682.37982,0,Medio
47109,Morera,20/09/2011 12:16,Alto (> 8 mts),135,Grande,-68.8321276422,-32.8734544903,4,Cuarta Este Área Fundacional,1822015.85685,1,Alto
15692,Aguaribay,15/11/2011 16:44,Muy bajo (1 - 2 mts),22,Mediano,-68.8622340517,-32.871212633,7,Residencial Parque,1786336.08966,0,Bajo
1179,Conifera,29/11/2011 10:04,Medio (4 - 8 mts),22,Mediano,-68.8761668288,-32.8650442971,8,Aeroparque,2203364.73622,0,Bajo
31098,Acer,08/02/2011 13:13,Alto (> 8 mts),132,Grande,-68.8541378133,-32.8646691621,6,Residencial Norte,2694682.37982,0,Alto
43719,Morera,11/10/2011 09:04,Muy bajo (1 - 2 mts),6,Chico,-68.8324371577,-32.8832410335,3,Parque O'Higgins,1531146.02653,0,Bajo
34683,Morera,31/03/2011 10:10,Alto (> 8 mts),160,Grande,-68.8495457914,-32.8765808593,6,Residencial Norte,2694682.37982,1,Muy alto
16571,Morera,27/07/2011 09:06,Alto (> 8 mts),220,Grande,-68.8415958586,-32.8660369901,4,Cuarta Oeste,1173332.70145,0,Muy alto
31124,Morera,08/02/2011 08:32,Medio (4 - 8 mts),88,Grande,-68.8541916805,-32.8641981414,6,Residencial Norte,2694682.37982,0,Medio
47626,Morera,08/09/2011 10:33,Alto (> 8 mts),170,Grande,-68.8304254098,-32.8711024523,4,Cuarta Este Área Fundacional,1822015.85685,1,Muy alto
45305,Fresno americano,09/09/2011 12:56,Bajo (2 - 4 mts),52,Mediano,-68.8234647699,-32.8721502212,4,Cuarta Este Área Fundacional,1822015.85685,0,Bajo
41584,Braquiquito,05/05/2011 12:04,Medio (4 - 8 mts),55,Mediano,-68.8411038516,-32.8773305666,1,Parque Central,1655357.93265,0,Bajo
46835,Olmo comun,16/09/2011 08:04,Alto (> 8 mts),105,Grande,-68.834052745,-32.8717191315,4,Cuarta Este Área Fundacional,1822015.85685,0,Medio
41248,Pltano,14/04/2011 13:50,Alto (> 8 mts),210,Grande,-68.8395140467,-32.8811131228,1,Parque Central,1655357.93265,0,Muy alto
20106,Morera,10/08/2011 10:32,Medio (4 - 8 mts),145,Grande,-68.8330498598,-32.8660120996,4,Cuarta Oeste,1173332.70145,0,Alto
41230,Morera,15/04/2011 12:59,Alto (> 8 mts),120,Grande,-68.838426808,-32.8814792529,1,Parque Central,1655357.93265,0,Alto
43710,Pltano,11/10/2011 09:17,Alto (> 8 mts),170,Grande,-68.8321837917,-32.8836597841,3,Parque O'Higgins,1531146.02653,0,Muy alto
35835,Paraiso sombrilla,03/03/2011 12:59,Medio (4 - 8 mts),115,Grande,-68.8544222258,-32.8736941951,6,Residencial Norte,2694682.37982,0,Alto
41572,Pltano,04/05/2011 11:58,Medio (4 - 8 mts),51,Mediano,-68.8414054331,-32.8784195068,1,Parque Central,1655357.93265,0,Bajo
40633,Fresno europeo,12/04/2011 10:53,Alto (> 8 mts),72,Grande,-68.8451928821,-32.8839599811,1,Parque Central,1655357.93265,0,Medio
4113,Fresno europeo,28/09/2011 11:37,Bajo (2 - 4 mts),50,Mediano,-68.8254013587,-32.8744787018,4,Cuarta Este Área Fundacional,1822015.85685,0,Bajo
18863,Morera,27/07/2011 09:14,Alto (> 8 mts),170,Grande,-68.8400983907,-32.869978776400004,4,Cuarta Oeste,1173332.70145,0,Muy alto
10754,Fresno europeo,05/04/2011 13:58,Bajo (2 - 4 mts),25,Mediano,-68.8560106952,-32.8761464392,6,Residencial Norte,2694682.37982,0,Bajo
47643,Morera,08/09/2011 17:21,Alto (> 8 mts),280,Grande,-68.8281676172,-32.8719850872,4,Cuarta Este Área Fundacional,1822015.85685,1,Muy alto
27399,Fresno europeo,19/10/2011 12:43,Medio (4 - 8 mts),90,Grande,-68.8344670064,-32.8876344356,3,Parque O'Higgins,1531146.02653,0,Medio
25036,Fresno europeo,15/02/2011 08:31,Alto (> 8 mts),80,Grande,-68.8363827438,-32.8968286151,2,Barrio Civico,2366816.36021,0,Medio
11714,Morera,28/01/2011 10:23,Alto (> 8 mts),150,Grande,-68.8501691471,-32.8684712499,6,Residencial Norte,2694682.37982,0,Alto
17299,Morera,04/08/2011 10:15,Alto (> 8 mts),168,Grande,-68.8357243122,-32.8658614628,4,Cuarta Oeste,1173332.70145,0,Muy alto
12523,Acer,10/01/2011 10:04,Medio (4 - 8 mts),100,Grande,-68.8439613178,-32.8631707137,4,Cuarta Oeste,1173332.70145,0,Medio
2172,Paraiso sombrilla,09/11/2011 17:46,Medio (4 - 8 mts),80,Grande,-68.8326246509,-32.8875057124,3,Parque O'Higgins,1531146.02653,0,Medio
5335,Morera,26/04/2011 13:37,Alto (> 8 mts),166,Grande,-68.8421724201,-32.8784607321,1,Parque Central,1655357.93265,0,Muy alto
39423,Paraiso,12/11/2010 11:30,Alto (> 8 mts),180,Grande,-68.8557612637,-32.8704239485,6,Residencial Norte,2694682.37982,0,Muy alto
41495,Morera,07/04/2011 12:58,Alto (> 8 mts),180,Grande,-68.8424099732,-32.8813157185,1,Parque Central,1655357.93265,0,Muy alto
28498,Morera,25/02/2011 09:56,Alto (> 8 mts),150,Grande,-68.8480808619,-32.8891417508,5,Residencial Sur,2423808.92355,0,Alto
44061,Morera,14/10/2011 11:51,Alto (> 8 mts),220,Grande,-68.8299095201,-32.8855174598,3,Parque O'Higgins,1531146.02653,0,Muy alto
36612,Morera,15/06/2011 10:05,Medio (4 - 8 mts),110,Grande,-68.8577203659,-32.8828953804,7,Residencial Parque,1786336.08966,1,Alto
43703,Pltano,11/10/2011 09:33,Alto (> 8 mts),260,Grande,-68.8315167367,-32.8836797056,3,Parque O'Higgins,1531146.02653,0,Muy alto
45533,Fresno europeo,19/09/2011 10:22,Alto (> 8 mts),250,Grande,-68.821206839,-32.8727631416,4,Cuarta Este Área Fundacional,1822015.85685,0,Muy alto
37077,Pltano,06/04/2011 09:56,Alto (> 8 mts),240,Grande,-68.8581080829,-32.8757387637,7,Residencial Parque,1786336.08966,0,Muy alto
2089,Morera,22/11/2011 11:59,Alto (> 8 mts),200,Grande,-68.8280524093,-32.8823016116,3,Parque O'Higgins,1531146.02653,1,Muy alto
32989,Acacia SP,23/05/2011 10:13,Alto (> 8 mts),80,Grande,-68.8510753177,-32.8883108593,5,Residencial Sur,2423808.92355,0,Medio
25046,Fresno europeo,14/02/2011 12:31,Alto (> 8 mts),102,Grande,-68.8366068782,-32.8963392533,2,Barrio Civico,2366816.36021,0,Medio
43810,Fresno europeo,18/10/2011 16:10,Medio (4 - 8 mts),66,Grande,-68.8313877589,-32.882523363,3,Parque O'Higgins,1531146.02653,0,Medio
17780,Paraiso,22/07/2011 10:32,Medio (4 - 8 mts),78,Grande,-68.8427521332,-32.8675229397,4,Cuarta Oeste,1173332.70145,0,Medio
14531,Paraiso sombrilla,05/12/2011 17:06,Bajo (2 - 4 mts),90,Grande,-68.8795954099,-32.8680627647,8,Aeroparque,2203364.73622,0,Medio
21729,Fresno europeo,24/05/2011 09:48,Alto (> 8 mts),100,Grande,-68.8553869158,-32.894679911,5,Residencial Sur,2423808.92355,0,Medio
16775,Morera,11/08/2011 13:37,Alto (> 8 mts),158,Grande,-68.8395223213,-32.8625221853,4,Cuarta Oeste,1173332.70145,0,Muy alto
9855,Paraiso sombrilla,06/01/2011 14:27,Medio (4 - 8 mts),53,Mediano,-68.8438114148,-32.8631952331,4,Cuarta Oeste,1173332.70145,0,Bajo
46051,Paraiso,19/09/2011 13:22,Bajo (2 - 4 mts),76,Grande,-68.8215887053,-32.8728466597,4,Cuarta Este Área Fundacional,1822015.85685,0,Medio
42865,Paraiso,03/10/2011 11:01,Alto (> 8 mts),133,Grande,-68.8323065348,-32.8774141201,4,Cuarta Este Área Fundacional,1822015.85685,0,Alto
13393,Olmo bola,11/01/2011 10:43,Alto (> 8 mts),98,Grande,-68.8440590112,-32.8660460043,4,Cuarta Oeste,1173332.70145,0,Medio
41793,Morera,26/04/2011 13:34,Alto (> 8 mts),160,Grande,-68.8421614481,-32.878400863,1,Parque Central,1655357.93265,1,Muy alto
8176,Morera,09/03/2011 08:56,Alto (> 8 mts),155,Grande,-68.843679056,-32.8919912192,2,Barrio Civico,2366816.36021,1,Alto
32470,Morera,26/05/2011 10:00,Alto (> 8 mts),148,Grande,-68.8523944863,-32.8883539777,5,Residencial Sur,2423808.92355,0,Alto
34936,Fresno europeo,06/04/2011 10:00,Alto (> 8 mts),100,Grande,-68.8563120162,-32.8794009452,6,Residencial Norte,2694682.37982,0,Medio
26134,Fresno europeo,10/11/2011 18:08,Medio (4 - 8 mts),150,Grande,-68.8299783864,-32.8866138304,3,Parque O'Higgins,1531146.02653,0,Alto
21173,Morera,06/05/2011 10:05,Alto (> 8 mts),105,Grande,-68.8514044354,-32.8933761559,5,Residencial Sur,2423808.92355,0,Medio
6898,Fresno europeo,24/05/2011 12:43,Bajo (2 - 4 mts),30,Mediano,-68.8607353507,-32.8948590705,5,Residencial Sur,2423808.92355,0,Bajo
44604,Fresno europeo,19/10/2011 10:22,Medio (4 - 8 mts),60,Mediano,-68.8344144197,-32.8859716463,3,Parque O'Higgins,1531146.02653,0,Medio
33097,Morera,28/06/2011 09:14,Medio (4 - 8 mts),60,Mediano,-68.8527424293,-32.8911797487,5,Residencial Sur,2423808.92355,1,Medio
43738,Morera,17/10/2011 16:44,Medio (4 - 8 mts),68,Grande,-68.8324915664,-32.8815858696,3,Parque O'Higgins,1531146.02653,0,Medio
37343,Pltano,29/11/2010 11:51,Medio (4 - 8 mts),90,Grande,-68.8583750779,-32.872125868,6,Residencial Norte,2694682.37982,0,Medio
13682,Morera,23/02/2011 12:08,Alto (> 8 mts),160,Grande,-68.8526959765,-32.8653412997,6,Residencial Norte,2694682.37982,0,Muy alto
43526,Morera,19/10/2011 17:37,Medio (4 - 8 mts),160,Grande,-68.8310003725,-32.8820530142,3,Parque O'Higgins,1531146.02653,1,Muy alto
12651,Ailanthus,18/01/2011 08:29,Alto (> 8 mts),90,Grande,-68.8469782654,-32.863258654,4,Cuarta Oeste,1173332.70145,0,Medio
23037,Morera,10/06/2011 18:54,Bajo (2 - 4 mts),14,Chico,-68.8618669253,-32.9016481518,5,Residencial Sur,2423808.92355,0,Bajo
23415,Morera,26/01/2011 19:13,Alto (> 8 mts),120,Grande,-68.8501183223,-32.9022997971,2,Barrio Civico,2366816.36021,0,Alto
45880,Fresno europeo,25/08/2011 12:45,Medio (4 - 8 mts),150,Grande,-68.8201030232,-32.8696050897,4,Cuarta Este Área Fundacional,1822015.85685,0,Alto
26398,Fresno americano,25/10/2011 10:09,Medio (4 - 8 mts),88,Grande,-68.8328641451,-32.8898180148,3,Parque O'Higgins,1531146.02653,0,Medio
43397,Morera,27/10/2011 16:08,Alto (> 8 mts),170,Grande,-68.8320829608,-32.8812259972,3,Parque O'Higgins,1531146.02653,0,Muy alto
39188,Morera,25/11/2010 09:07,Alto (> 8 mts),180,Grande,-68.8539848778,-32.8731060513,6,Residencial Norte,2694682.37982,0,Muy alto
9890,Paraiso sombrilla,11/02/2011 09:32,Medio (4 - 8 mts),95,Grande,-68.8578632034,-32.8653271332,6,Residencial Norte,2694682.37982,0,Medio
37673,Paraiso,24/02/2012 09:11,Alto (> 8 mts),90,Grande,-68.8516277235,-32.8720855796,6,Residencial Norte,2694682.37982,1,Medio
35837,Fresno europeo,03/03/2011 12:45,Medio (4 - 8 mts),85,Grande,-68.8544668727,-32.8738359032,6,Residencial Norte,2694682.37982,0,Medio
35920,Morera,23/03/2011 13:21,Alto (> 8 mts),150,Grande,-68.8539851125,-32.8759404913,6,Residencial Norte,2694682.37982,0,Alto
26264,Acacia SP,25/10/2011 10:44,Medio (4 - 8 mts),75,Grande,-68.8303293999,-32.8891636597,3,Parque O'Higgins,1531146.02653,0,Medio
21436,Morera,10/05/2011 10:31,Alto (> 8 mts),130,Grande,-68.8560817668,-32.8931973838,5,Residencial Sur,2423808.92355,0,Alto
5597,Fresno europeo,19/04/2011 10:04,Medio (4 - 8 mts),50,Mediano,-68.8371997255,-32.8800270906,1,Parque Central,1655357.93265,0,Bajo
21802,Morera,13/05/2011 10:41,Alto (> 8 mts),180,Grande,-68.8570604757,-32.8938126735,5,Residencial Sur,2423808.92355,0,Muy alto
7462,Paraiso,17/06/2011 08:09,Medio (4 - 8 mts),53,Mediano,-68.8623348529,-32.899680901,5,Residencial Sur,2423808.92355,0,Bajo
36310,Morera,04/04/2011 12:17,Alto (> 8 mts),170,Grande,-68.8530300905,-32.8767052345,6,Residencial Norte,2694682.37982,0,Muy alto
10143,Morera,27/12/2010 13:16,Bajo (2 - 4 mts),35,Mediano,-68.8550406856,-32.8705171731,6,Residencial Norte,2694682.37982,0,Bajo
47342,Pltano,21/09/2011 10:27,Alto (> 8 mts),120,Grande,-68.8320480513,-32.8742945455,4,Cuarta Este Área Fundacional,1822015.85685,0,Alto
33973,Morera,26/05/2011 13:15,Bajo (2 - 4 mts),100,Grande,-68.8546274022,-32.8844192639,5,Residencial Sur,2423808.92355,0,Medio
20879,Morera,26/05/2011 10:36,Alto (> 8 mts),102,Grande,-68.8606343553,-32.8952694871,5,Residencial Sur,2423808.92355,0,Medio
8543,Morera,17/02/2011 10:01,Muy bajo (1 - 2 mts),13,Chico,-68.839781084,-32.8988788553,2,Barrio Civico,2366816.36021,0,Bajo
41292,Pltano,11/04/2011 10:37,Alto (> 8 mts),155,Grande,-68.8398316306,-32.8817130654,1,Parque Central,1655357.93265,0,Alto
14517,Acacia SP,30/11/2011 16:35,Bajo (2 - 4 mts),110,Grande,-68.8788431648,-32.8656318936,8,Aeroparque,2203364.73622,0,Alto
2576,Morera,21/10/2011 09:10,Alto (> 8 mts),63,Grande,-68.8322636553,-32.8888250933,3,Parque O'Higgins,1531146.02653,0,Medio
45915,Fresno americano,25/08/2011 12:35,Medio (4 - 8 mts),210,Grande,-68.8199767047,-32.868788287,4,Cuarta Este Área Fundacional,1822015.85685,0,Muy alto
37528,Paraiso,17/11/2010 11:51,Alto (> 8 mts),150,Grande,-68.8575753591,-32.8706201619,6,Residencial Norte,2694682.37982,0,Alto
35455,Morera,28/03/2011 10:23,Alto (> 8 mts),61,Grande,-68.8539543893,-32.881338568,6,Residencial Norte,2694682.37982,0,Medio
7161,Pltano,18/05/2011 11:06,Alto (> 8 mts),128,Grande,-68.8539998278,-32.8985844163,5,Residencial Sur,2423808.92355,0,Alto
10448,Morera,09/03/2011 13:01,Medio (4 - 8 mts),65,Grande,-68.8561378232,-32.8738202278,6,Residencial Norte,2694682.37982,0,Medio
28247,Morera,28/02/2011 16:48,Alto (> 8 mts),172,Grande,-68.8480813717,-32.8927789133,2,Barrio Civico,2366816.36021,0,Muy alto
2368,Fresno europeo,01/11/2011 16:29,Medio (4 - 8 mts),120,Grande,-68.8367458343,-32.8867346348,3,Parque O'Higgins,1531146.02653,0,Alto
9541,Paraiso sombrilla,08/02/2011 12:26,Alto (> 8 mts),140,Grande,-68.8548764024,-32.8647616874,6,Residencial Norte,2694682.37982,0,Alto
13029,Morera,16/02/2011 09:51,Alto (> 8 mts),166,Grande,-68.8452350861,-32.8660137828,4,Cuarta Oeste,1173332.70145,0,Muy alto
3185,Prunas,20/09/2011 11:00,Bajo (2 - 4 mts),37,Mediano,-68.8293645498,-32.8747938918,4,Cuarta Este Área Fundacional,1822015.85685,0,Bajo
31916,Morera,01/06/2011 12:47,Medio (4 - 8 mts),110,Grande,-68.8575625782,-32.884358621,5,Residencial Sur,2423808.92355,1,Alto
9754,Fresno europeo,19/01/2011 09:19,Bajo (2 - 4 mts),60,Mediano,-68.8459102554,-32.8643083809,4,Cuarta Oeste,1173332.70145,0,Medio
26644,Fresno europeo,02/11/2011 09:50,Bajo (2 - 4 mts),30,Mediano,-68.8335433689,-32.8911569296,3,Parque O'Higgins,1531146.02653,0,Bajo
2468,Morera,26/10/2011 09:30,Medio (4 - 8 mts),60,Mediano,-68.8370429744,-32.8911142091,3,Parque O'Higgins,1531146.02653,1,Medio
26652,Conifera,14/11/2011 15:27,Alto (> 8 mts),70,Grande,-68.8317214701,-32.8932562428,3,Parque O'Higgins,1531146.02653,0,Medio
7777,Fresno europeo,13/05/2011 09:00,Medio (4 - 8 mts),150,Grande,-68.8565172968,-32.885603136,5,Residencial Sur,2423808.92355,0,Alto
45098,Fresno europeo,01/09/2011 12:19,Medio (4 - 8 mts),80,Grande,-68.8245640565,-32.8706311512,4,Cuarta Este Área Fundacional,1822015.85685,0,Medio
38067,Fresno europeo,06/12/2010 11:07,Alto (> 8 mts),150,Grande,-68.8483351058,-32.8725700344,6,Residencial Norte,2694682.37982,0,Alto
29763,Morera,15/03/2011 08:56,Alto (> 8 mts),68,Grande,-68.8410033515,-32.8936749585,2,Barrio Civico,2366816.36021,1,Medio
23197,Paraiso,18/01/2011 12:34,Medio (4 - 8 mts),130,Grande,-68.8485844343,-32.9011362117,2,Barrio Civico,2366816.36021,0,Alto
21587,Fresno europeo,12/05/2011 10:35,Medio (4 - 8 mts),80,Grande,-68.8543429196,-32.8936263411,5,Residencial Sur,2423808.92355,0,Medio
31187,Ligustro,04/02/2011 10:30,Bajo (2 - 4 mts),30,Mediano,-68.8538781646,-32.8634443729,6,Residencial Norte,2694682.37982,0,Bajo
4174,Morera,07/07/2011 11:12,Alto (> 8 mts),126,Grande,-68.8373197574,-32.8733136151,4,Cuarta Oeste,1173332.70145,1,Alto
33618,Morera,16/05/2011 13:48,Alto (> 8 mts),155,Grande,-68.8539609816,-32.8878535392,5,Residencial Sur,2423808.92355,0,Alto
26694,Morera,10/11/2011 09:13,Alto (> 8 mts),125,Grande,-68.8319328502,-32.8932113524,3,Parque O'Higgins,1531146.02653,0,Alto
15881,Paraiso sombrilla,28/11/2011 20:42,Bajo (2 - 4 mts),70,Grande,-68.8722214049,-32.8766209595,7,Residencial Parque,1786336.08966,0,Medio
18985,Morera,03/08/2011 13:05,Alto (> 8 mts),200,Grande,-68.8370697598,-32.869796324,4,Cuarta Oeste,1173332.70145,0,Muy alto
45874,Fresno americano,25/08/2011 13:16,Muy bajo (1 - 2 mts),8,Chico,-68.8192411752,-32.8696308711,4,Cuarta Este Área Fundacional,1822015.85685,0,Bajo
7540,Acacia visco,14/06/2011 14:48,Bajo (2 - 4 mts),100,Grande,-68.8602289616,-32.8820284297,7,Residencial Parque,1786336.08966,0,Medio
46048,Fresno europeo,19/09/2011 13:29,Medio (4 - 8 mts),120,Grande,-68.8213680232,-32.8728441636,4,Cuarta Este Área Fundacional,1822015.85685,0,Alto
34893,Pltano,29/03/2011 10:22,Alto (> 8 mts),147,Grande,-68.8515867761,-32.8814711007,1,Parque Central,1655357.93265,0,Alto
44653,Morera,19/08/2011 11:25,Alto (> 8 mts),110,Grande,-68.8227926538,-32.8678634354,4,Cuarta Este Área Fundacional,1822015.85685,0,Alto
18096,Ailanthus,28/07/2011 10:55,Medio (4 - 8 mts),26,Mediano,-68.8404504706,-32.8687698644,4,Cuarta Oeste,1173332.70145,0,Bajo
13348,Fresno europeo,12/01/2011 10:15,Medio (4 - 8 mts),55,Mediano,-68.8462463337,-32.8663248567,4,Cuarta Oeste,1173332.70145,0,Bajo
19224,Morera,05/07/2011 12:36,Alto (> 8 mts),180,Grande,-68.8393844077,-32.8722332604,4,Cuarta Oeste,1173332.70145,0,Muy alto
35451,Morera,28/03/2011 10:31,Alto (> 8 mts),92,Grande,-68.8541363918,-32.8812050133,6,Residencial Norte,2694682.37982,0,Medio
36981,Morera,07/04/2011 16:39,Medio (4 - 8 mts),33,Mediano,-68.8571254909,-32.8790054188,7,Residencial Parque,1786336.08966,0,Bajo
43819,Olmo comun,18/10/2011 13:15,Bajo (2 - 4 mts),190,Grande,-68.8311099409,-32.8818099757,3,Parque O'Higgins,1531146.02653,0,Muy alto
3855,Acacia SP,31/08/2011 11:37,Bajo (2 - 4 mts),23,Mediano,-68.8275228393,-32.870392618,4,Cuarta Este Área Fundacional,1822015.85685,0,Bajo
35461,Morera,28/03/2011 13:14,Alto (> 8 mts),180,Grande,-68.8540588846,-32.8817390281,6,Residencial Norte,2694682.37982,0,Muy alto
22248,Morera,14/06/2011 10:41,Alto (> 8 mts),150,Grande,-68.8559067171,-32.8970069088,5,Residencial Sur,2423808.92355,1,Alto
11186,Morera,27/01/2011 08:59,Alto (> 8 mts),138,Grande,-68.8441884738,-32.90147317,2,Barrio Civico,2366816.36021,0,Alto
33651,Paraiso,16/05/2011 09:55,Alto (> 8 mts),136,Grande,-68.8568417799,-32.886725718,5,Residencial Sur,2423808.92355,0,Alto
19906,Morera,28/06/2011 14:06,Alto (> 8 mts),177,Grande,-68.8334735199,-32.8624989516,4,Cuarta Oeste,1173332.70145,0,Muy alto
44795,Fresno europeo,23/08/2011 09:31,Alto (> 8 mts),175,Grande,-68.824263431,-32.8691979374,4,Cuarta Este Área Fundacional,1822015.85685,0,Muy alto
30179,Morera,09/03/2011 13:13,Alto (> 8 mts),140,Grande,-68.8425024882,-32.8899706368,2,Barrio Civico,2366816.36021,0,Alto
5412,Morera,18/04/2011 13:16,Medio (4 - 8 mts),110,Grande,-68.8430713153,-32.8788266151,1,Parque Central,1655357.93265,0,Alto
30478,Fresno europeo,17/02/2011 12:12,Alto (> 8 mts),200,Grande,-68.8402105438,-32.8888064165,3,Parque O'Higgins,1531146.02653,0,Muy alto
39628,Prunas,26/10/2010 09:12,Bajo (2 - 4 mts),45,Mediano,-68.8489035933,-32.8695253399,6,Residencial Norte,2694682.37982,0,Bajo
33170,Morera,08/06/2011 12:58,Medio (4 - 8 mts),90,Grande,-68.8539323198,-32.8914035122,5,Residencial Sur,2423808.92355,1,Medio
